ID;sectorName;department
10;Communications;Communications      
11;Data Storage Or Processing;Data Storage Or Processing 
12;Defence Industry;Defence Industry            
13;Energy;Energy                   
14;Financial Services And Markets;Financial Services And Markets 
15;Food and Grocery;Food and Grocery   
16;Health Care And Medical;Health Care And Medical       
17;Higher Education And Research;Higher Education And Research  
18;Space Technology;Space Technology             
19;Transport;Transport                   
20;Water And Sewage;Water And Sewage              